file,viewed_at,status,note
portraits/P01.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P02.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P03.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P04.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P05.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P06.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P07.png,256;96,CANDIDATE_WITH_NOTE,"목표9세보다11~13세인상,아이범위내"
portraits/P08.png,256;96,CANDIDATE_WITH_NOTE,넓은얼굴/마른목·어깨
portraits/P09.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P10.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P11.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P12.png,256;96,CANDIDATE_WITH_NOTE,수염에가려살찐체형약함
portraits/P13.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P14.png,256;96,CANDIDATE_WITH_NOTE,유사쌍P28;장년노화미묘
portraits/P15.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P16.png,256;96,CANDIDATE_WITH_NOTE,유사쌍P35
portraits/P17.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P18.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P19.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P20.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P21.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P22.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P23.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P24.png,256;96,CANDIDATE_WITH_NOTE,보통/살찐경계
portraits/P25.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P26.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P27.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P28.png,256;96,CANDIDATE_WITH_NOTE,유사쌍P14
portraits/P29.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P30.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P31.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P32.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P33.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P34.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
portraits/P35.png,256;96,CANDIDATE_WITH_NOTE,유사쌍P16
portraits/P36.png,256;96,CANDIDATE_ACCEPTABLE,인물구별/방향/자연스러움육안확인
aging/P01_young.png,256;96,SAME_PERSON_OBSERVED,동일인형태유지및노화관찰
aging/P01_mature.png,256;96,SAME_PERSON_OBSERVED,동일인형태유지및노화관찰
aging/P01_old.png,256;96,SAME_PERSON_OBSERVED,동일인형태유지및노화관찰
aging/P08_young.png,256;96,SAME_PERSON_OBSERVED,P14장년변화미묘;P08노년정확70세판독약함
aging/P08_mature.png,256;96,SAME_PERSON_OBSERVED,P14장년변화미묘;P08노년정확70세판독약함
aging/P08_old.png,256;96,SAME_PERSON_OBSERVED,P14장년변화미묘;P08노년정확70세판독약함
aging/P14_young.png,256;96,SAME_PERSON_OBSERVED,P14장년변화미묘;P08노년정확70세판독약함
aging/P14_mature.png,256;96,SAME_PERSON_OBSERVED,P14장년변화미묘;P08노년정확70세판독약함
aging/P14_old.png,256;96,SAME_PERSON_OBSERVED,P14장년변화미묘;P08노년정확70세판독약함
aging/P20_young.png,256;96,SAME_PERSON_OBSERVED,동일인형태유지및노화관찰
aging/P20_mature.png,256;96,SAME_PERSON_OBSERVED,동일인형태유지및노화관찰
aging/P20_old.png,256;96,SAME_PERSON_OBSERVED,동일인형태유지및노화관찰
