"asset_id","status","file","width","height","group","description","history_notes","sha256","generation_records","processing","qa"
"timeline_strip_base","candidate","assets/timeline/timeline_strip_base.png","1024","64","timeline","A very wide shallow horizontal chronology strip. Five equally broad muted chapter color bands: warm straw, sage, dusty bluegrey, russet, greyviolet. Thin brown outline and blank short tick marks on lower edge; absolutely no lettering or numerals. Straight rectangular strip isolated transparent. Wide 16:1 proportions.","Project reference art. Candidate only; no runtime installation.","7745fc58a9d9283c4235415144cf099fd3697a621350fe5b087a65e1f59a6c52","[{""prompt"":""Create one raster game UI candidate asset, timeline_strip_base. A very wide shallow horizontal chronology strip. Five equally broad muted chapter color bands: warm straw, sage, dusty bluegrey, russet, greyviolet. Thin brown outline and blank short tick marks on lower edge; absolutely no lettering or numerals. Straight rectangular strip isolated transparent. Wide 16:1 proportions. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament, low chroma hand-painted matte gouache, warm parchment, thin dark brown outlines. Not modern vector. Output genuinely transparent RGBA outside object. No writing, numbers, watermark, UI labels. Entire object fully visible with generous transparent margin."",""rawFile"":""raw/timeline/timeline_strip_base.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1586,""height"":992}}]","{""alphaThreshold"":12,""crop"":{""left"":17,""top"":437,""width"":1552,""height"":119},""target"":[1024,64],""padding"":0,""resize"":""fill native panel aspect"",""sourceSize"":[1586,992]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[1024,64],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_pin_now","candidate","assets/timeline/timeline_pin_now.png","96","96","timeline","A solid muted russet downward pointer arrowhead on a short upright stem with a small gold round cap. Current-time timeline pin. Strong simple downward silhouette.","Project reference art. Candidate only; no runtime installation.","98c1e2b5c669e65ae057aa48541bacee695a4dd49033991e7e7e8a166f34d25b","[{""prompt"":""Create one raster game UI candidate asset timeline_pin_now. A solid muted russet downward pointer arrowhead on a short upright stem with a small gold round cap. Current-time timeline pin. Strong simple downward silhouette. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_pin_now.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":427,""top"":296,""width"":398,""height"":661},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_pin_select","candidate","assets/timeline/timeline_pin_select.png","96","96","timeline","A hollow dark brown diamond selection cursor with thick warm gold rim and empty transparent center. Short downward point. Visibly different from solid now pointer.","Project reference art. Candidate only; no runtime installation.","81809ed70e2fc9aeb416ede67b07e50f7f418c6267b2d2956a9b602c8186550f","[{""prompt"":""Create one raster game UI candidate asset timeline_pin_select. A hollow dark brown diamond selection cursor with thick warm gold rim and empty transparent center. Short downward point. Visibly different from solid now pointer. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_pin_select.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":262,""top"":223,""width"":730,""height"":794},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_marker_decision","candidate","assets/timeline/timeline_marker_decision.png","96","96","timeline","Single compact dark russet wax seal in a DIAMOND silhouette with simple recessed central cross-free dot. No document, no letters. Decision timeline marker.","Project reference art. Candidate only; no runtime installation.","854282a2a73093e05f82ba38c3f195c991dbe7df42d4cbaf9c6f7b6807dd1027","[{""prompt"":""Create one raster game UI candidate asset timeline_marker_decision. Single compact dark russet wax seal in a DIAMOND silhouette with simple recessed central cross-free dot. No document, no letters. Decision timeline marker. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_marker_decision.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":346,""top"":326,""width"":563,""height"":583},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_marker_event","candidate","assets/timeline/timeline_marker_event.png","96","96","timeline","Single irregular eight-point rust red burst with pale center. Event timeline marker, bold starburst silhouette, no letters no symbols inside.","Project reference art. Candidate only; no runtime installation.","ac2ca285346d37f53c2b228a6b5fa2df7be34627fc684bff55618962165859a3","[{""prompt"":""Create one raster game UI candidate asset timeline_marker_event. Single irregular eight-point rust red burst with pale center. Event timeline marker, bold starburst silhouette, no letters no symbols inside. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_marker_event.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":215,""top"":181,""width"":825,""height"":831},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_marker_era","candidate","assets/timeline/timeline_marker_era.png","96","96","timeline","Single thick dark oak medieval gateway silhouette with two stout square posts and one flat lintel, clear large open arch passage. Era timeline marker.","Project reference art. Candidate only; no runtime installation.","6a49d5535c93c710eb7d9ec3cafd12aa3fb341e8762d5ab856bfa0d88caf17a9","[{""prompt"":""Create one raster game UI candidate asset timeline_marker_era. Single thick dark oak medieval gateway silhouette with two stout square posts and one flat lintel, clear large open arch passage. Era timeline marker. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_marker_era.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":160,""top"":207,""width"":934,""height"":811},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_marker_milestone","candidate","assets/timeline/timeline_marker_milestone.png","96","96","timeline","One muted ochre triangular pennant flying right on short dark vertical pole with round base. Milestone timeline marker.","Project reference art. Candidate only; no runtime installation.","9b27f31e377d3b135b637e5f8c7aae65c8def50f6b379082ab4822b28bf4ffa7","[{""prompt"":""Create one raster game UI candidate asset timeline_marker_milestone. One muted ochre triangular pennant flying right on short dark vertical pole with round base. Milestone timeline marker. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_marker_milestone.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":365,""top"":220,""width"":632,""height"":812},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_marker_person","candidate","assets/timeline/timeline_marker_person.png","96","96","timeline","One dark brown circular medallion enclosing a simple pale head-and-shoulders bust silhouette, large head, no detailed face. Person timeline marker.","Project reference art. Candidate only; no runtime installation.","328c0c50acdd2b16dfb27c0474d1b1cacced52d2324cd6879c467b28b21da871","[{""prompt"":""Create one raster game UI candidate asset timeline_marker_person. One dark brown circular medallion enclosing a simple pale head-and-shoulders bust silhouette, large head, no detailed face. Person timeline marker. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_marker_person.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":201,""top"":194,""width"":850,""height"":839},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""nineSlice"":null}"
"timeline_zoom_handle","candidate","assets/timeline/timeline_zoom_handle.png","96","96","timeline","Single small upright rounded parchment slider handle bounded thick brown edge, three bold vertical dark brown grip grooves. No arrows, no letters. Strong narrow capsule silhouette.","Project reference art. Candidate only; no runtime installation.","a66f430f111359545eaa443e91af2e840eb166e0636f42c172d9ed66835b36e4","[{""prompt"":""Create one raster game UI candidate asset timeline_zoom_handle. Single small upright rounded parchment slider handle bounded thick brown edge, three bold vertical dark brown grip grooves. No arrows, no letters. Strong narrow capsule silhouette. Style reference only: attached project UI. C direction 80 percent function 20 percent medieval ornament. Handpainted matte gouache, low chroma warm ochre russet brown palette, bold simple silhouette legible24pixels, thin brown contour. ONE isolated symbol centered, square canvas, generous transparent margins. Genuine transparent RGBA background. No text, no numbers, no watermark, no scenery."",""rawFile"":""raw/timeline/timeline_zoom_handle.png"",""referenceImages"":[""references/timeline-p0-resource-sheet.png"",""references/frame_chronicle_page.png""],""tool"":""image_gen.imagegen"",""model"":""not provided"",""seed"":""not provided"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","{""alphaThreshold"":12,""crop"":{""left"":489,""top"":243,""width"":276,""height"":758},""target"":[96,96],""padding"":6,""resize"":""contain"",""sourceSize"":[1254,1254]}","{""status"":""technical_pass"",""rgba"":true,""dimensions"":[96,96],""visual"":""pass at24/32/48; five markers diamond seal,burst,gate,pennant,bust have distinct silhouettes"",""caveat"":""Narrow visual handle is not touch hitbox; runtime should supply48px hit target."",""nineSlice"":null}"
"frame_record_decision","candidate","assets/cards/frame_record_decision.png","320","160","cards","a recessed empty circular seal socket at upper left corner; two short muted burgundy ribbon tails contained in left margin. Blank socket, no heraldic emblem","Project reference art. Candidate only; no runtime installation.","d59f433997f953e8f11afb2fb90e1b92f969ab2f044154d0bc5c4b3f180d0b0a","[{""prompt"":""Create ONE medieval game record-card FRAME raster candidate, no sheet. Reference images establish only handpainted UI tone. Final target320x160 horizontal 2:1. Render frame straight-on perfectly rectangular, centered with tiny transparent outside gutter. Opaque warm pale parchment blank content surface. C direction 80% practical 20% ornament. Match fine brown outlines, low chroma warm ochre cream, subtle matte handpainted gouache grain of attached project references. Frame outer artwork ratio2:1. Intended 9-slice: ALL identity motif stays within corner or edge strips; blank quiet inner rectangular center occupying at least75% area, straight edges stretchable. No letters, no numbers, no readable writing, no icon in content, no people, no scenery, no drop shadow, no photoreal tabletop, no extra objects. Genuine transparent RGBA OUTSIDE frame; opaque parchment INSIDE. Unique edge identity: a recessed empty circular seal socket at upper left corner; two short muted burgundy ribbon tails contained in left margin. Blank socket, no heraldic emblem"",""rawFile"":""raw/cards/frame_record_decision-v1.png"",""referenceImages"":[""references/frame_chronicle_page.png"",""references/frame_season_ledger.png"",""references/frame_person_card-v1.png""],""tool"":""image_gen.imagegen"",""model"":null,""seed"":null,""sourcePath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0ddce-936e-71d1-901d-3a61d1aec8de/exec-3826b33a-d134-466b-a1e0-3e69fe6c27c3.png"",""sourceImageDimensions"":{""width"":1774,""height"":887}}]","""Generated artwork resized to exact 320x160 using Sharp fill, alpha preserved. No procedural replacement of artwork. Expanded QA uses nine extracted slices.""","{""dimensionsPass"":true,""rgbaPass"":true,""transparentOutsidePass"":true,""noTextVisualPass"":true,""edgeIdentityPass"":true,""sha256"":""d59f433997f953e8f11afb2fb90e1b92f969ab2f044154d0bc5c4b3f180d0b0a"",""note"":""Six identities judged without names at native 320x160. Seal has ribbon; portrait recess is larger and ribbonless. Era wood and milestone gold remain distinct in grayscale by border thickness."",""nineSlice"":{""insets"":{""left"":50,""top"":90,""right"":32,""bottom"":55},""minimumSize"":{""width"":320,""height"":160},""testedExpandedSize"":{""width"":640,""height"":240},""cornerDifferentBytes"":0,""center"":""Opaque blank parchment; stretch center and straight edge strips, keep all four corners fixed.""}}"
