"asset_id","status","canvas","pivot_x","pivot_y","footprint","ground_landmark_transform_residual_px","manual_ground_landmark_tolerance_px","jetty_overhang_native_px","border_nontransparent_pixels","lower_edge_warp","sha256"
"house_l0_1350_a-v1","accepted_unchanged","153x153","77.35406698564593","139.57894736842104","1x1","","0","","0","","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c"
"house_l0_1350_b-v1","accepted_unchanged","153x153","77.35406698564593","139.57894736842104","1x1","","0","","0","","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c"
"house_l0_1400_a-v1","accepted_unchanged","153x153","77.35406698564593","139.57894736842104","1x1","","0","","0","","4f9a46d7da85b2b3385d00fddebddef03549da9d9c88b1f0cb66629e58c9fe00"
"house_l0_1400_b-v1","accepted_unchanged","153x153","77.35406698564593","139.57894736842104","1x1","","0","","0","","91199690adcbdba30b8926b6aa72b168d2d443d127f6a75f8a6474082b8fe53d"
"house_l1_1350_a-v1","accepted_unchanged","139x139","71.66148325358851","125.92025518341308","1x1","","0","","0","","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf"
"house_l1_1350_b-v1","accepted_unchanged","139x139","71.66148325358851","125.92025518341308","1x1","","0","","0","","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00"
"house_l1_1400_a-v1","accepted_unchanged","139x139","71.66148325358851","125.92025518341308","1x1","","0","","0","","061f88c9b58c400efdc134f0198d02bea0ea6dd3cfd08d3890979bf0924747f8"
"house_l1_1400_b-v1","accepted_unchanged","139x139","71.66148325358851","125.92025518341308","1x1","","0","","0","","2dd0f0962bab1ac7efb532ad489dd69a89fc07ee11a854e22065f0f268362354"
"house_l2_1350_a-v2","candidate_rework","137x137","70.95813397129186","132.08373205741626","1x1","1.4210854715202004e-14","2","13.299634440268713","0","{""joinY"":131,""yScale"":1,""originalBottom"":134.0509805645297,""targetBottom"":134.0509805645297,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","eae7260cade74a7ccb9b22e20e913f2c4634e6fe132fe2ed13fe2ef2469c0f55"
"house_l2_1350_b-v2","candidate_rework","137x137","70.95813397129186","132.08373205741626","1x1","1.4210854715202004e-14","2","13.299634440268713","0","{""joinY"":131,""yScale"":1,""originalBottom"":134.17338080481744,""targetBottom"":134.17338080481744,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","e5d5b9e33ab6b6a901382679bcd7d79241301f49b6abbbc84b6eaa21b03932e9"
"house_l2_1400_a-v2","candidate_rework","137x137","70.95813397129186","132.08373205741626","1x1","2.842170943040401e-14","2","","0","{""joinY"":131,""yScale"":1,""originalBottom"":134.2824222035324,""targetBottom"":134.2824222035324,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","8c4720c8a7eb07679726c80a924282820343dc0ad811df7d50fc705319ed22b6"
"house_l2_1400_b-v2","candidate_rework","137x137","70.95813397129186","132.08373205741626","1x1","1.4210854715202004e-14","2","","0","{""joinY"":131,""yScale"":1,""originalBottom"":134.21459883919425,""targetBottom"":134.21459883919425,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","21a2a3895a0a87357d35e72c5eb976dcf8e9a1390d1d220018d8872191471f1b"
"house_l3_1350_a-v2","candidate_rework","142x142","74.39712918660287","138.03668261562999","1x1","1.4210854715202004e-14","2","13.280694047880518","0","{""joinY"":137,""yScale"":1,""originalBottom"":139.63962954828318,""targetBottom"":139.63962954828318,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","01eda02bd43199fd9096a493ec7c509b9e67a29dcc80afc4f2334098f5df19f7"
"house_l3_1350_b-v2","candidate_rework","142x142","74.39712918660287","138.03668261562999","1x1","0","2","13.245642952902134","0","{""joinY"":137,""yScale"":1,""originalBottom"":139.75610792436797,""targetBottom"":139.75610792436797,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","258c7638867d9b9185873a3b946176cb67ace0b26e0ec2fad3614b7eb7051084"
"house_l3_1400_a-v2","candidate_rework","142x142","74.39712918660287","138.03668261562999","1x1","1.4210854715202004e-14","2","","0","{""joinY"":137,""yScale"":1,""originalBottom"":139.87163665203008,""targetBottom"":139.87163665203008,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","7b883d60b9041ce6d46122d5f7adac2ec728faf64643473f909a82a3f434b1f9"
"house_l3_1400_b-v2","candidate_rework","142x142","74.39712918660287","138.03668261562999","1x1","1.4210854715202004e-14","2","","0","{""joinY"":137,""yScale"":1,""originalBottom"":139.93461920692022,""targetBottom"":139.93461920692022,""note"":""Only alpha below front foundation contact is rescaled; all three contacts remain fixed""}","376eb6afed0fd2b883ca45bce863e2e87614e1f33e2078248c89e6759c333e68"
